sample	species_sylph	species_miniphy	filename_in_tar_xz	tar_xz	tar_xz_url	tar_xz_md5	tar_xz_size_MB
SAMD00237440	Acetobacter aceti	acetobacter_aceti	atb.assembly.r0.2.batch.92/SAMD00237440.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN00773124	Acetobacter aceti	acetobacter_aceti	atb.assembly.r0.2.batch.92/SAMN00773124.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMD00035436	Acetobacter ascendens	acetobacter_ascendens	atb.assembly.r0.2.batch.92/SAMD00035436.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA1026846	Acetobacter ascendens	acetobacter_ascendens	atb.assembly.r0.2.batch.92/SAMEA1026846.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN15791685	Acetobacter cerevisiae	acetobacter_cerevisiae	atb.assembly.r0.2.batch.92/SAMN15791685.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343656	Acetobacter conturbans	acetobacter_conturbans	atb.assembly.r0.2.batch.92/SAMN13343656.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343659	Acetobacter estunensis	acetobacter_estunensis	atb.assembly.r0.2.batch.92/SAMN13343659.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN19771104	Acetobacter estunensis_A	acetobacter_estunensisa	atb.assembly.r0.2.batch.92/SAMN19771104.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343648	Acetobacter fabarum	acetobacter_fabarum	atb.assembly.r0.2.batch.92/SAMN13343648.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343657	Acetobacter fallax	acetobacter_fallax	atb.assembly.r0.2.batch.92/SAMN13343657.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343658	Acetobacter fallax	acetobacter_fallax	atb.assembly.r0.2.batch.92/SAMN13343658.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343650	Acetobacter ghanensis	acetobacter_ghanensis	atb.assembly.r0.2.batch.92/SAMN13343650.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5613794	Acetobacter indonesiensis	acetobacter_indonesiensis	atb.assembly.r0.2.batch.92/SAMEA5613794.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343651	Acetobacter lambici	acetobacter_lambici	atb.assembly.r0.2.batch.92/SAMN13343651.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA5613792	Acetobacter lovaniensis	acetobacter_lovaniensis	atb.assembly.r0.2.batch.92/SAMEA5613792.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343647	Acetobacter lovaniensis	acetobacter_lovaniensis	atb.assembly.r0.2.batch.92/SAMN13343647.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343655	Acetobacter musti	acetobacter_musti	atb.assembly.r0.2.batch.92/SAMN13343655.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN14972490	Acetobacter musti	acetobacter_musti	atb.assembly.r0.2.batch.92/SAMN14972490.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN02199066	Acetobacter nitrogenifigens	acetobacter_nitrogenifigens	atb.assembly.r0.2.batch.92/SAMN02199066.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN13343652	Acetobacter oeni	acetobacter_oeni	atb.assembly.r0.2.batch.92/SAMN13343652.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN17146156	Acetobacter okinawensis	acetobacter_okinawensis	atb.assembly.r0.2.batch.92/SAMN17146156.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN17146157	Acetobacter okinawensis	acetobacter_okinawensis	atb.assembly.r0.2.batch.92/SAMN17146157.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN07665553	Acetobacter orleanensis	acetobacter_orleanensis	atb.assembly.r0.2.batch.92/SAMN07665553.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN14972491	Acetobacter oryzoeni	acetobacter_oryzoeni	atb.assembly.r0.2.batch.92/SAMN14972491.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN14972492	Acetobacter oryzoeni	acetobacter_oryzoeni	atb.assembly.r0.2.batch.92/SAMN14972492.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMD00035431	Acetobacter pasteurianus	acetobacter_pasteurianus	atb.assembly.r0.2.batch.92/SAMD00035431.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMEA1026842	Acetobacter pasteurianus	acetobacter_pasteurianus	atb.assembly.r0.2.batch.92/SAMEA1026842.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMN10577522	Acetobacter pasteurianus	acetobacter_pasteurianus	atb.assembly.r0.2.batch.92/SAMN10577522.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
SAMD00141124	Acetobacter pasteurianus	acetobacter_pasteurianus	atb.assembly.r0.2.batch.92/SAMD00141124.fa	atb.assembly.r0.2.batch.92.tar.xz	https://osf.io/download/6671559e0f8c8017cf3c92ba/	70107c8f0b3186d35e4b5aaf0e039630	270.55
